,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 1,
D1: How many drivers in your household are on your auto policy?,
Base: Total Respondents,
,
,Total
,A
Base,1167
1,530
,45.42%
2,522
,44.73%
3,86
,7.37%
4,22
,1.89%
5+,7
,0.60%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 2,
D4: Which of the following best describes your current employment status?,
Base: Total Respondents,
,
,Total
,A
Base,1167
Employed full-time,491
,42.07%
Employed part-time,113
,9.68%
Self-employed,71
,6.08%
Not currently employed but looking for work,71
,6.08%
Retired,354
,30.33%
Not employed outside the home,67
,5.74%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 3,
D5: What is the highest level of education you have completed?,
Base: Total Respondents,
,
,Total
,A
Base,1167
Some high school,17
,1.46%
Completed high school/GED/HSED,215
,18.42%
"Some college, Associate degree, or technical school",394
,33.76%
4-year college degree/Bachelor's degree,336
,28.79%
Completed or started post-college graduate school,205
,17.57%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 4,
D6: Which of the following best describes your annual household income before taxes?,
Base: Total Respondents,
,
,Total
,A
Base,1167
"Under $35,000",212
,18.17%
"$35,000-$44,999",104
,8.91%
"$45,000-$54,999",138
,11.83%
"$55,000-$64,999",99
,8.48%
"$65,000-$74,999",92
,7.88%
"$75,000-$99,999",182
,15.60%
"$100,000-$124,999",92
,7.88%
"$125,000-$149,999",90
,7.71%
"$150,000-$199,999",73
,6.26%
"$200,000-$249,999",28
,2.40%
"$250,000 or more",44
,3.77%
Prefer not to answer,13
,1.11%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 5,
D7: Are you of Hispanic or Latino origin?,
Base: Total Respondents,
,
,Total
,A
Base,1167
Yes,97
,8.31%
No,1069
,91.60%
Prefer not to answer,1
,0.09%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 6,
D9: What is your current marital status?,
Base: Total Respondents,
,
,Total
,A
Base,1167
"Single (includes never married, widowed, divorced)",564
,48.33%
Married/living with partner,603
,51.67%
Sigma,1167
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 7,
"Q11_10best: Most Important - Of the coverages and terms below, please select the one that is most important and the one that is least important to you in an auto insurance policy. [MDcount] of 15",
Base: Total Respondents,
,
,Total
,A
Base,1167
"The policy is from a nationally recognized brand (e.g., Progressive, Allstate, State Farm, GEICO)",48
,4.11%
"The policy is from a lesser-known brand (e.g., SafeAuto, Direct Auto, National General, Kemper)",16
,1.37%
You have 30 days to report a new vehicle to your insurance provider,34
,2.91%
You have 7 days to report a new vehicle to your insurance provider,19
,1.63%
"If you don't pay by the renewal date, you have a grace period to pay so that there is no gap in your insurance",58
,4.97%
The policy covers borrowed vehicles,36
,3.08%
The policy covers up to $200K in damages to a rented car,31
,2.66%
The policy covers up to $100K in damages to a rented car,27
,2.31%
"The policy can include an extended family member (e.g., your cousin), unmaried partners, or a friend living in your hous",48
,4.11%
"The policy can include yourself, a spouse, and immediate family members living in your household",76
,6.51%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, even if they use it r",72
,6.17%
"The policy covers anyone not on your policy to whom you've given permission to drive your vehicle, if they do not use it",34
,2.91%
The policy covers liability and medical costs for a driver in your household who is not on your policy,72
,6.17%
"The policy will cover medical costs for an injured passenger, even if they are adequately insured",59
,5.06%
The policy will cover medical costs for an injured passenger if they are not insured or underinsured,57
,4.88%
"For an extra $50 per covered vehicle every 6 months, the policy provides a one-time payout of $900 that you can use to c",38
,3.26%
"For an extra $25 per covered vehicle every 6 months, the policy provides $30 per day (for up to 30 days) to use toward t",43
